"Dashboard", "Panel de control"
"Help & Support", "Ayuda y soporte"
"CleverReach® ID: %1", "ID del cliente de CleverReach®: %1"
"Targeted email marketing for more revenue!", "Correos personalizados para más ventas!"
"Targeted email marketing for more revenue in your %1 shop", "Correos personalizados para más ventas en su tienda %1."
"Create appealing emails to showcase your products to your customers", "Cree newsletters elegantes con sus productos a los clientes."
"Create your first newsletter →", "Cree su primer newsletter →"
"Create your next newsletter now! →", "Cree el próximo newsletter ahora →"
"Welcome to clever Email Marketing!", "Bienvenido a CleverReach email marketing"
"Simply transmit Magento data and get started with CleverReach® for free!", "Para iniciar el trabajo con Shopware y empezar sin gastos con CleverReach®"
"Create and connect your new CleverReach® account now!", "Cree y conecte con una cuenta de CleverReach®"
"Log in and connect with an existing CleverReach® account", "Inicie sesión y conecte con una cuenta existente de CleverReach®"
"Connecting...", "Conectando..."
"Create recipient list in CleverReach®", "Cree una lista de destinatarios en CleverReach®"
"Add data fields, segments and tags to recipient list", "Añada campos de datos, segmentos y etiquetas a la lista de destinatarios"
"Import recipients from %s to CleverReach®", "Importe de destinatarios de %s a CleverReach®"
"Well done!", "¡Bien hecho!"
"%s recipients have been successfully added to the list %s in your CleverReach® account.", "%s los destinatarios se han añadido con éxito a la lista %s en su cuenta de CleverReach"
"You will be directed to your plugin dashboard in ... %d sec.", "Usted será dirigido a nuestro plugin dashboard en... %d sec.."
"Auto configuring...", "Configuración automática..."
"Auto configuration failed.", "Configuración automática fallada."
"Retry auto configuration now", "Configuración automática repetida"
"hello", "hola"