"Dashboard", "Tableaux de bord"
"Help & Support", "Aide & Support"
"CleverReach® ID: %1", "CleverReach® Numéro Client: %1"
"Targeted email marketing for more revenue!", "Marketing par Email Ciblées pour réaliser plus de ventes!"
"Targeted email marketing for more revenue in your %1 shop", "Marketing par Email Ciblé pour réaliser plus de ventes sur votre %1 boutique en ligne."
"Create appealing emails to showcase your products to your customers", "Créer des mailings attractifs afin de présentez vos produits à vos clients."
"Create your first newsletter →", "Créer votre première newsletter →"
"Create your next newsletter now! →", "Créez maintenant votre prochaine Newsletters! →"
"Welcome to clever Email Marketing!", "Bienvenue à CleverReach® - Intelligent Email Marketing"
"Simply transmit Magento data and get started with CleverReach® for free!", "Transférer tout simplement vos données Shopware et démarrez gratuitement avec CleverReach®!"
"Create and connect your new CleverReach® account now!", "Créer et connecter dès maintenant votre nouveau compte CleverReach®!"
"Log in and connect with an existing CleverReach® account", "Identifiez et connectez-vous à votre compte CleverReach®"
"Connecting...", "La connexion est établie..."
"Create recipient list in CleverReach®", "Créer une liste d'abonnés dans CleverReach®"
"Add data fields, segments and tags to recipient list", "Ajouter des champs de données, des segments et des Balises à liste d'abonnés"
"Import recipients from %s to CleverReach®", "Importer vos destinataires de %s à CleverReach®"
"Well done!", "Bien fait!"
"%s recipients have been successfully added to the list %s in your CleverReach® account.", "%s destinataires ont été ajoutés avec succès à la liste %s de votre compte CleverReach®."
"You will be directed to your plugin dashboard in ... %d sec.", "Vous serez redirigé vers votre tableau de bord plugin dans ...%d sec."
"Auto configuring...", "Autoconfiguration en cours d´exécution..."
"Auto configuration failed.", "Echec d'autoconfiguration."
"Retry auto configuration now", "Réessayer l´autoconfiguration"
"hello", "bonjour"