"Dashboard", "Dashboard"
"Help & Support", "Aiuto & Supporto"
"CleverReach® ID: %1", "ID cliente CleverReach®: %1"
"Targeted email marketing for more revenue!", "E-mail marketing mirato per incrementare i profitti!"
"Targeted email marketing for more revenue in your %1 shop", "E-mail marketing mirato per incrementare i profitti nel tuo %1 shop."
"Create appealing emails to showcase your products to your customers", "Crea e-mail accattivanti per presentare i tuoi prodotti ai tuoi clienti."
"Create your first newsletter →", "Crea la tua prima newsletter →"
"Create your next newsletter now! →", "Crea ora la tua prossima newsletter! →"
"Welcome to clever Email Marketing!", "Benvenuti nel mondo dell\'e-mail marketing intelligente"
"Simply transmit Magento data and get started with CleverReach® for free!", "Trasmetti i dati contenuti nella tua piattaforma Shopware e comincia gratuitamente ad usare CleverReach®!"
"Create and connect your new CleverReach® account now!", "Crea e connetti adesso il tuo nuovo account CleverReach®!"
"Log in and connect with an existing CleverReach® account", "Accedi e connettiti ad un account CleverReach® esistente"
"Connecting...", "Connessione..."
"Create recipient list in CleverReach®", "Crea un elenco di destinatari in CleverReach®"
"Add data fields, segments and tags to recipient list", "Aggiungi campi, segmenti e tag alle tue liste di destinatari"
"Import recipients from %s to CleverReach®", "Importa i destinatari da %s in CleverReach®"
"Well done!", "Ben fatto!"
"%s recipients have been successfully added to the list %s in your CleverReach® account.", "%s destinatari sono stati aggiunti con successo alla lista %s nel tuo account CleverReach®."
"You will be directed to your plugin dashboard in ... %d sec.", "Sarai reindirizzato all tua dashboard di plugin in... %d sec."
"Auto configuring...", "Configurazione automatica..."
"Auto configuration failed.", "Configurazione automatica fallita."
"Retry auto configuration now", "Ripetere configurazione automatica"
"hello", "ciao"